nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 19:41:51.198[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m905[0m - [1mLoading the model from ../hard_const/results/best_model.pth[0m
Step: 3140, Temperature: 323.94 K, Total Energy: -30031.979974 eV
Step: 3160, Temperature: 296.10 K, Total Energy: -30032.016681 eV
Step: 3180, Temperature: 309.94 K, Total Energy: -30032.202450 eV
Step: 3200, Temperature: 287.20 K, Total Energy: -30032.038346 eV
Step: 3220, Temperature: 287.40 K, Total Energy: -30032.248217 eV
Step: 3240, Temperature: 294.42 K, Total Energy: -30031.818094 eV
Step: 3260, Temperature: 297.02 K, Total Energy: -30032.066129 eV
Step: 3280, Temperature: 282.83 K, Total Energy: -30032.187811 eV
Step: 3300, Temperature: 302.63 K, Total Energy: -30032.432819 eV
Step: 3320, Temperature: 289.92 K, Total Energy: -30032.591907 eV
Step: 3340, Temperature: 286.02 K, Total Energy: -30032.136036 eV
Step: 3360, Temperature: 296.16 K, Total Energy: -30032.399971 eV
Step: 3380, Temperature: 310.73 K, Total Energy: -30032.255155 eV
Step: 3400, Temperature: 286.12 K, Total Energy: -30032.289697 eV
Step: 3420, Temperature: 277.00 K, Total Energy: -30032.480962 eV
Step: 3440, Temperature: 284.78 K, Total Energy: -30032.920736 eV
Step: 3460, Temperature: 297.73 K, Total Energy: -30032.487912 eV
Step: 3480, Temperature: 287.40 K, Total Energy: -30032.589985 eV
Step: 3500, Temperature: 277.68 K, Total Energy: -30032.725648 eV
Step: 3520, Temperature: 268.37 K, Total Energy: -30033.366985 eV
Step: 3540, Temperature: 261.14 K, Total Energy: -30033.384399 eV
Step: 3560, Temperature: 280.81 K, Total Energy: -30033.337414 eV
Step: 3580, Temperature: 280.05 K, Total Energy: -30033.727433 eV
Step: 3600, Temperature: 297.29 K, Total Energy: -30033.170719 eV
Step: 3620, Temperature: 272.49 K, Total Energy: -30033.040088 eV
Step: 3640, Temperature: 297.62 K, Total Energy: -30032.172303 eV
Step: 3660, Temperature: 321.26 K, Total Energy: -30032.048400 eV
Step: 3680, Temperature: 302.42 K, Total Energy: -30031.949699 eV
Step: 3700, Temperature: 277.16 K, Total Energy: -30032.912425 eV
Step: 3720, Temperature: 295.27 K, Total Energy: -30032.941648 eV
Step: 3740, Temperature: 281.55 K, Total Energy: -30033.112156 eV
Step: 3760, Temperature: 281.64 K, Total Energy: -30033.418539 eV
Step: 3780, Temperature: 316.12 K, Total Energy: -30033.218942 eV
Step: 3800, Temperature: 273.51 K, Total Energy: -30033.862496 eV
Step: 3820, Temperature: 284.38 K, Total Energy: -30033.811414 eV
Step: 3840, Temperature: 282.38 K, Total Energy: -30034.132504 eV
Step: 3860, Temperature: 292.54 K, Total Energy: -30033.792497 eV
Step: 3880, Temperature: 288.14 K, Total Energy: -30034.128318 eV
Step: 3900, Temperature: 314.63 K, Total Energy: -30033.640664 eV
Step: 3920, Temperature: 291.96 K, Total Energy: -30033.803058 eV
Step: 3940, Temperature: 266.37 K, Total Energy: -30033.320958 eV
Step: 3960, Temperature: 287.05 K, Total Energy: -30033.309586 eV
Step: 3980, Temperature: 296.62 K, Total Energy: -30033.554538 eV
Step: 4000, Temperature: 309.46 K, Total Energy: -30033.409739 eV
Step: 4020, Temperature: 291.40 K, Total Energy: -30033.430144 eV
Step: 4040, Temperature: 296.67 K, Total Energy: -30033.043598 eV
Step: 4060, Temperature: 307.27 K, Total Energy: -30032.760845 eV
Step: 4080, Temperature: 316.95 K, Total Energy: -30033.061585 eV
Step: 4100, Temperature: 320.10 K, Total Energy: -30032.776371 eV
Step: 4120, Temperature: 298.22 K, Total Energy: -30032.850791 eV
Step: 4140, Temperature: 309.78 K, Total Energy: -30032.778772 eV
Step: 4160, Temperature: 284.90 K, Total Energy: -30033.222332 eV
Step: 4180, Temperature: 272.48 K, Total Energy: -30033.481632 eV
Step: 4200, Temperature: 285.87 K, Total Energy: -30033.024548 eV
Step: 4220, Temperature: 278.55 K, Total Energy: -30033.010871 eV
Step: 4240, Temperature: 302.45 K, Total Energy: -30032.661734 eV
Step: 4260, Temperature: 294.18 K, Total Energy: -30032.236098 eV
Step: 4280, Temperature: 308.68 K, Total Energy: -30031.956353 eV
Step: 4300, Temperature: 338.55 K, Total Energy: -30031.795164 eV
Step: 4320, Temperature: 314.16 K, Total Energy: -30031.439427 eV
Step: 4340, Temperature: 320.99 K, Total Energy: -30031.902816 eV
Step: 4360, Temperature: 286.71 K, Total Energy: -30031.968526 eV
Step: 4380, Temperature: 309.14 K, Total Energy: -30032.187143 eV
Step: 4400, Temperature: 301.85 K, Total Energy: -30032.170886 eV
Step: 4420, Temperature: 293.84 K, Total Energy: -30032.193846 eV
Step: 4440, Temperature: 284.91 K, Total Energy: -30032.513016 eV
Step: 4460, Temperature: 301.79 K, Total Energy: -30031.822593 eV
Step: 4480, Temperature: 334.40 K, Total Energy: -30031.642244 eV
Step: 4500, Temperature: 316.25 K, Total Energy: -30031.223504 eV
Step: 4520, Temperature: 300.55 K, Total Energy: -30032.115243 eV
Step: 4540, Temperature: 294.82 K, Total Energy: -30032.505361 eV
Step: 4560, Temperature: 305.86 K, Total Energy: -30033.198189 eV
Step: 4580, Temperature: 275.87 K, Total Energy: -30033.299962 eV
Step: 4600, Temperature: 278.47 K, Total Energy: -30033.016701 eV
Step: 4620, Temperature: 279.22 K, Total Energy: -30033.722662 eV
Step: 4640, Temperature: 278.64 K, Total Energy: -30033.670613 eV
Step: 4660, Temperature: 283.01 K, Total Energy: -30033.261538 eV
Step: 4680, Temperature: 311.65 K, Total Energy: -30033.158098 eV
Step: 4700, Temperature: 293.81 K, Total Energy: -30033.087279 eV
Step: 4720, Temperature: 284.91 K, Total Energy: -30033.237770 eV
Step: 4740, Temperature: 305.44 K, Total Energy: -30033.251647 eV
Step: 4760, Temperature: 285.08 K, Total Energy: -30032.940526 eV
Step: 4780, Temperature: 302.46 K, Total Energy: -30032.751313 eV
Step: 4800, Temperature: 281.54 K, Total Energy: -30033.604543 eV
Step: 4820, Temperature: 260.19 K, Total Energy: -30033.616819 eV
Step: 4840, Temperature: 270.94 K, Total Energy: -30033.650783 eV
Step: 4860, Temperature: 280.73 K, Total Energy: -30033.167633 eV
Step: 4880, Temperature: 278.48 K, Total Energy: -30033.284003 eV
Step: 4900, Temperature: 287.33 K, Total Energy: -30033.126798 eV
Step: 4920, Temperature: 312.08 K, Total Energy: -30032.635639 eV
Step: 4940, Temperature: 279.11 K, Total Energy: -30032.776127 eV
Step: 4960, Temperature: 299.97 K, Total Energy: -30033.201850 eV
Step: 4980, Temperature: 285.14 K, Total Energy: -30033.800267 eV
Step: 5000, Temperature: 275.16 K, Total Energy: -30033.339028 eV
Step: 5020, Temperature: 290.33 K, Total Energy: -30032.751656 eV
Step: 5040, Temperature: 318.27 K, Total Energy: -30032.536664 eV
Step: 5060, Temperature: 315.56 K, Total Energy: -30032.518069 eV
Step: 5080, Temperature: 302.88 K, Total Energy: -30032.824830 eV
Step: 5100, Temperature: 314.46 K, Total Energy: -30033.064827 eV
Step: 5120, Temperature: 319.67 K, Total Energy: -30032.919938 eV
Step: 5140, Temperature: 298.90 K, Total Energy: -30033.212896 eV
Step: 5160, Temperature: 326.38 K, Total Energy: -30032.093363 eV
Step: 5180, Temperature: 315.57 K, Total Energy: -30032.023711 eV
Step: 5200, Temperature: 331.82 K, Total Energy: -30031.802124 eV
Step: 5220, Temperature: 334.18 K, Total Energy: -30031.614500 eV
Step: 5240, Temperature: 343.27 K, Total Energy: -30032.478747 eV
Step: 5260, Temperature: 326.50 K, Total Energy: -30032.432078 eV
Step: 5280, Temperature: 284.35 K, Total Energy: -30033.038790 eV
Step: 5300, Temperature: 273.71 K, Total Energy: -30033.792943 eV
