nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 20:49:32.229[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m908[0m - [1mLoading the model from ../../baseline/results/best_model.pth[0m
Step: 5020, Temperature: 290.17 K, Total Energy: -30032.760376 eV
Step: 5040, Temperature: 299.49 K, Total Energy: -30032.757848 eV
Step: 5060, Temperature: 310.67 K, Total Energy: -30032.731904 eV
Step: 5080, Temperature: 296.69 K, Total Energy: -30032.578439 eV
Step: 5100, Temperature: 302.69 K, Total Energy: -30032.485829 eV
Step: 5120, Temperature: 302.18 K, Total Energy: -30032.568881 eV
Step: 5140, Temperature: 291.18 K, Total Energy: -30032.922322 eV
Step: 5160, Temperature: 283.28 K, Total Energy: -30032.935909 eV
Step: 5180, Temperature: 293.36 K, Total Energy: -30033.422141 eV
Step: 5200, Temperature: 289.03 K, Total Energy: -30033.435458 eV
Step: 5220, Temperature: 309.92 K, Total Energy: -30033.410937 eV
Step: 5240, Temperature: 305.87 K, Total Energy: -30033.497381 eV
Step: 5260, Temperature: 303.68 K, Total Energy: -30033.288824 eV
Step: 5280, Temperature: 305.30 K, Total Energy: -30032.652382 eV
Step: 5300, Temperature: 305.79 K, Total Energy: -30032.364722 eV
Step: 5320, Temperature: 293.41 K, Total Energy: -30032.735250 eV
Step: 5340, Temperature: 298.95 K, Total Energy: -30032.949093 eV
Step: 5360, Temperature: 300.48 K, Total Energy: -30032.816696 eV
Step: 5380, Temperature: 298.92 K, Total Energy: -30033.207628 eV
Step: 5400, Temperature: 301.81 K, Total Energy: -30033.597871 eV
Step: 5420, Temperature: 289.03 K, Total Energy: -30033.205005 eV
Step: 5440, Temperature: 287.98 K, Total Energy: -30032.913083 eV
Step: 5460, Temperature: 309.00 K, Total Energy: -30033.051187 eV
Step: 5480, Temperature: 283.03 K, Total Energy: -30033.069234 eV
Step: 5500, Temperature: 305.44 K, Total Energy: -30033.043386 eV
Step: 5520, Temperature: 326.97 K, Total Energy: -30032.451796 eV
Step: 5540, Temperature: 337.28 K, Total Energy: -30032.043460 eV
Step: 5560, Temperature: 323.73 K, Total Energy: -30032.449549 eV
Step: 5580, Temperature: 345.90 K, Total Energy: -30032.037197 eV
Step: 5600, Temperature: 319.92 K, Total Energy: -30031.899156 eV
Step: 5620, Temperature: 309.41 K, Total Energy: -30032.687386 eV
Step: 5640, Temperature: 318.62 K, Total Energy: -30033.019826 eV
Step: 5660, Temperature: 301.90 K, Total Energy: -30033.658054 eV
Step: 5680, Temperature: 317.70 K, Total Energy: -30033.394414 eV
Step: 5700, Temperature: 290.57 K, Total Energy: -30033.164317 eV
Step: 5720, Temperature: 299.02 K, Total Energy: -30033.513669 eV
Step: 5740, Temperature: 297.31 K, Total Energy: -30034.039242 eV
Step: 5760, Temperature: 282.81 K, Total Energy: -30033.871653 eV
Step: 5780, Temperature: 289.08 K, Total Energy: -30033.340564 eV
Step: 5800, Temperature: 286.12 K, Total Energy: -30033.333091 eV
Step: 5820, Temperature: 298.24 K, Total Energy: -30033.166156 eV
Step: 5840, Temperature: 295.10 K, Total Energy: -30033.044186 eV
Step: 5860, Temperature: 297.84 K, Total Energy: -30032.500473 eV
Step: 5880, Temperature: 310.39 K, Total Energy: -30032.694029 eV
Step: 5900, Temperature: 285.77 K, Total Energy: -30032.972757 eV
Step: 5920, Temperature: 305.95 K, Total Energy: -30032.651516 eV
Step: 5940, Temperature: 318.58 K, Total Energy: -30032.557873 eV
Step: 5960, Temperature: 296.49 K, Total Energy: -30032.397797 eV
Step: 5980, Temperature: 302.84 K, Total Energy: -30032.634378 eV
Step: 6000, Temperature: 328.18 K, Total Energy: -30032.226001 eV
Step: 6020, Temperature: 309.45 K, Total Energy: -30032.305627 eV
