nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 20:42:02.699[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m908[0m - [1mLoading the model from ../hard_const/results/best_model.pth[0m
Step: 5440, Temperature: 293.29 K, Total Energy: -30034.505924 eV
Step: 5460, Temperature: 280.66 K, Total Energy: -30035.072266 eV
Step: 5480, Temperature: 311.37 K, Total Energy: -30034.835265 eV
Step: 5500, Temperature: 298.24 K, Total Energy: -30034.920264 eV
Step: 5520, Temperature: 288.64 K, Total Energy: -30034.867187 eV
Step: 5540, Temperature: 293.56 K, Total Energy: -30034.938631 eV
Step: 5560, Temperature: 293.99 K, Total Energy: -30034.829942 eV
Step: 5580, Temperature: 314.06 K, Total Energy: -30035.226536 eV
Step: 5600, Temperature: 275.92 K, Total Energy: -30035.498396 eV
Step: 5620, Temperature: 299.12 K, Total Energy: -30035.439080 eV
Step: 5640, Temperature: 274.77 K, Total Energy: -30035.255786 eV
Step: 5660, Temperature: 321.88 K, Total Energy: -30034.650491 eV
Step: 5680, Temperature: 290.81 K, Total Energy: -30034.370996 eV
Step: 5700, Temperature: 324.48 K, Total Energy: -30034.129787 eV
Step: 5720, Temperature: 310.08 K, Total Energy: -30034.008519 eV
Step: 5740, Temperature: 330.12 K, Total Energy: -30033.891903 eV
Step: 5760, Temperature: 319.53 K, Total Energy: -30034.526109 eV
Step: 5780, Temperature: 299.57 K, Total Energy: -30034.761583 eV
Step: 5800, Temperature: 310.60 K, Total Energy: -30034.772761 eV
Step: 5820, Temperature: 310.26 K, Total Energy: -30034.874877 eV
Step: 5840, Temperature: 311.03 K, Total Energy: -30034.156343 eV
Step: 5860, Temperature: 315.81 K, Total Energy: -30034.377601 eV
Step: 5880, Temperature: 304.31 K, Total Energy: -30034.964535 eV
Step: 5900, Temperature: 280.31 K, Total Energy: -30034.983330 eV
Step: 5920, Temperature: 304.29 K, Total Energy: -30035.144681 eV
Step: 5940, Temperature: 302.65 K, Total Energy: -30035.039411 eV
Step: 5960, Temperature: 280.99 K, Total Energy: -30035.181025 eV
Step: 5980, Temperature: 279.89 K, Total Energy: -30034.886627 eV
Step: 6000, Temperature: 315.35 K, Total Energy: -30034.535825 eV
Step: 6020, Temperature: 296.09 K, Total Energy: -30034.888300 eV
Step: 6040, Temperature: 327.40 K, Total Energy: -30034.847209 eV
Step: 6060, Temperature: 304.75 K, Total Energy: -30035.355611 eV
Step: 6080, Temperature: 281.75 K, Total Energy: -30035.677613 eV
Step: 6100, Temperature: 292.76 K, Total Energy: -30035.261393 eV
Step: 6120, Temperature: 287.07 K, Total Energy: -30035.459506 eV
Step: 6140, Temperature: 296.85 K, Total Energy: -30035.550780 eV
Step: 6160, Temperature: 284.01 K, Total Energy: -30035.026880 eV
Step: 6180, Temperature: 295.17 K, Total Energy: -30035.190983 eV
Step: 6200, Temperature: 308.97 K, Total Energy: -30035.368555 eV
Step: 6220, Temperature: 294.26 K, Total Energy: -30035.776287 eV
Step: 6240, Temperature: 285.87 K, Total Energy: -30035.399999 eV
Step: 6260, Temperature: 309.73 K, Total Energy: -30035.364844 eV
Step: 6280, Temperature: 286.07 K, Total Energy: -30035.656704 eV
Step: 6300, Temperature: 296.10 K, Total Energy: -30035.792537 eV
Step: 6320, Temperature: 311.56 K, Total Energy: -30035.472996 eV
Step: 6340, Temperature: 288.69 K, Total Energy: -30035.188101 eV
Step: 6360, Temperature: 315.31 K, Total Energy: -30034.761273 eV
Step: 6380, Temperature: 312.60 K, Total Energy: -30034.300284 eV
Step: 6400, Temperature: 301.09 K, Total Energy: -30034.803340 eV
Step: 6420, Temperature: 306.75 K, Total Energy: -30034.502522 eV
Step: 6440, Temperature: 322.66 K, Total Energy: -30034.134657 eV
Step: 6460, Temperature: 309.30 K, Total Energy: -30034.246828 eV
Step: 6480, Temperature: 316.14 K, Total Energy: -30034.371263 eV
Step: 6500, Temperature: 315.56 K, Total Energy: -30033.854696 eV
Step: 6520, Temperature: 314.37 K, Total Energy: -30034.464884 eV
Step: 6540, Temperature: 312.08 K, Total Energy: -30034.264756 eV
Step: 6560, Temperature: 351.30 K, Total Energy: -30033.731190 eV
Step: 6580, Temperature: 310.96 K, Total Energy: -30033.806610 eV
